teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,1,1,praeattentiv,mit_netzbrummen,718,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,2,2,praeattentiv,mit_netzbrummen,872,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,3,3,praeattentiv,mit_netzbrummen,637,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,4,4,praeattentiv,mit_netzbrummen,540,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,5,5,praeattentiv,mit_netzbrummen,658,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,6,6,praeattentiv,mit_netzbrummen,700,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,7,7,praeattentiv,mit_netzbrummen,545,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,8,8,praeattentiv,mit_netzbrummen,531,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,9,9,praeattentiv,mit_netzbrummen,551,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,1,10,10,praeattentiv,mit_netzbrummen,582,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,1,11,praeattentiv,ohne_netzbrummen,623,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,2,12,praeattentiv,ohne_netzbrummen,412,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,3,13,praeattentiv,ohne_netzbrummen,814,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,4,14,praeattentiv,ohne_netzbrummen,410,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,5,15,praeattentiv,ohne_netzbrummen,819,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,6,16,praeattentiv,ohne_netzbrummen,778,1
8DAL-F95X,A,51,Weiblich,Nein,,5,2,2,2,10,Eher anstregend,Attentive Aufgaben,Gar nicht,Gestresst,Unsicher,Unsicher,Angenehem,Selten,Mischung aus beiden,2,7,17,praeattentiv,ohne_netzbrummen,527,1
