teilnehmer_id;gruppe;alter;geschlecht;ohrenkrankheiten;ohrenkrankheiten_welche;arbeitsplatz_laut;bueromaschinen;haushaltsgeraete;baumaschinen;noise_cancelling;anstrengung;schwierige_aufgaben;brummen_einfluss;brummen_hinsicht;gefuehl_langsamer;gefuehl_fehler;lautstaerke;bewusst_wahrgenommen;strategie;block;trial_in_block;trial_global;suchtyp;audio;zeit_ms;richtig
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;1;1;Präattentiv;Brummen;2762;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;2;2;Präattentiv;Brummen;2345;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;3;3;Präattentiv;Brummen;2347;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;4;4;Präattentiv;Brummen;2761;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;5;5;Präattentiv;Brummen;2714;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;6;6;Präattentiv;Brummen;2749;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;7;7;Präattentiv;Brummen;2353;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;8;8;Präattentiv;Brummen;2019;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;9;9;Präattentiv;Brummen;1879;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;10;10;Präattentiv;Brummen;2447;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;1;11;Präattentiv;Still;2063;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;2;12;Präattentiv;Still;2094;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;3;13;Präattentiv;Still;2539;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;4;14;Präattentiv;Still;2751;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;5;15;Präattentiv;Still;1963;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;6;16;Präattentiv;Still;2940;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;7;17;Präattentiv;Still;2516;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;8;18;Präattentiv;Still;2662;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;9;19;Präattentiv;Still;2097;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;1;10;20;Präattentiv;Still;1775;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;1;21;Attentiv;Brummen;1898;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;2;22;Attentiv;Brummen;1525;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;3;23;Attentiv;Brummen;2486;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;4;24;Attentiv;Brummen;2554;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;5;25;Attentiv;Brummen;1571;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;6;26;Attentiv;Brummen;2436;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;7;27;Attentiv;Brummen;2058;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;8;28;Attentiv;Brummen;2239;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;9;29;Attentiv;Brummen;1540;1
ID-B3KE-SCCM;A;58;Weiblich;Nein;;3;3;5;1;9;Eher nicht;Attentive Aufgaben;Mittelmäßig;Genervt;Ja;Unsicher;Angenehm;Häufig;Ich habe systematisch gesucht;2;10;30;Attentiv;Brummen;2283;1
