teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,1,1,praeattentiv,mit_netzbrummen,2241,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,2,2,praeattentiv,mit_netzbrummen,1188,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,3,3,praeattentiv,mit_netzbrummen,589,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,4,4,praeattentiv,mit_netzbrummen,981,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,5,5,praeattentiv,mit_netzbrummen,1365,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,6,6,praeattentiv,mit_netzbrummen,997,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,7,7,praeattentiv,mit_netzbrummen,964,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,8,8,praeattentiv,mit_netzbrummen,1324,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,9,9,praeattentiv,mit_netzbrummen,731,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,1,10,10,praeattentiv,mit_netzbrummen,855,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,1,11,praeattentiv,ohne_netzbrummen,864,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,2,12,praeattentiv,ohne_netzbrummen,554,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,3,13,praeattentiv,ohne_netzbrummen,774,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,4,14,praeattentiv,ohne_netzbrummen,1364,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,5,15,praeattentiv,ohne_netzbrummen,731,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,6,16,praeattentiv,ohne_netzbrummen,1046,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,7,17,praeattentiv,ohne_netzbrummen,915,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,8,18,praeattentiv,ohne_netzbrummen,930,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,9,19,praeattentiv,ohne_netzbrummen,914,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,2,10,20,praeattentiv,ohne_netzbrummen,882,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,3,1,21,attentiv,mit_netzbrummen,2871,1
H6P5-U3TR,A,32,Männlich,Nein,,3,3,3,4,6,Eher nicht,Attentive Aufgaben,Eher nicht,Gestresst,Unsicher,Nein,Angenehem,Häufig,Mischung aus beiden,3,2,22,attentiv,mit_netzbrummen,4325,1
