teilnehmer_id;gruppe;alter;geschlecht;ohrenkrankheiten;ohrenkrankheiten_welche;arbeitsplatz_laut;bueromaschinen;haushaltsgeraete;baumaschinen;noise_cancelling;anstrengung;schwierige_aufgaben;brummen_einfluss;brummen_hinsicht;gefuehl_langsamer;gefuehl_fehler;lautstaerke;bewusst_wahrgenommen;strategie;block;trial_in_block;trial_global;suchtyp;audio;zeit_ms;richtig
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;1;1;Präattentiv;Brummen;1820;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;2;2;Präattentiv;Brummen;1840;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;3;3;Präattentiv;Brummen;1860;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;4;4;Präattentiv;Brummen;1880;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;5;5;Präattentiv;Brummen;1900;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;6;6;Präattentiv;Brummen;1920;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;7;7;Präattentiv;Brummen;1940;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;8;8;Präattentiv;Brummen;1960;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;9;9;Präattentiv;Brummen;1980;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;10;10;Präattentiv;Brummen;2000;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;1;11;Präattentiv;Still;2020;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;2;12;Präattentiv;Still;2040;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;3;13;Präattentiv;Still;2060;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;4;14;Präattentiv;Still;2080;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;5;15;Präattentiv;Still;2100;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;6;16;Präattentiv;Still;2120;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;7;17;Präattentiv;Still;2140;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;8;18;Präattentiv;Still;2160;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;9;19;Präattentiv;Still;2180;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;1;10;20;Präattentiv;Still;2200;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;1;21;Attentiv;Brummen;1820;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;2;22;Attentiv;Brummen;1840;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;3;23;Attentiv;Brummen;1860;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;4;24;Attentiv;Brummen;1880;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;5;25;Attentiv;Brummen;1900;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;6;26;Attentiv;Brummen;1920;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;7;27;Attentiv;Brummen;1940;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;8;28;Attentiv;Brummen;1960;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;9;29;Attentiv;Brummen;1980;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;10;30;Attentiv;Brummen;2000;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;1;31;Attentiv;Still;2020;1
ID-JESH-9682;A;21;Männlich;Nein;;2;4;2;1;5;Eher nicht;Attentive Aufgaben;Eher nicht;Leicht abgelenkt;Nein;Nein;Zu laut;Die ganze Zeit;Ich habe systematisch gesucht;2;2;32;Attentiv;Still;2040;1
