teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,1,1,praeattentiv,mit_netzbrummen,789,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,2,2,praeattentiv,mit_netzbrummen,955,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,3,3,praeattentiv,mit_netzbrummen,528,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,4,4,praeattentiv,mit_netzbrummen,742,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,5,5,praeattentiv,mit_netzbrummen,776,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,6,6,praeattentiv,mit_netzbrummen,474,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,7,7,praeattentiv,mit_netzbrummen,674,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,8,8,praeattentiv,mit_netzbrummen,639,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,9,9,praeattentiv,mit_netzbrummen,1228,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,1,10,10,praeattentiv,mit_netzbrummen,1018,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,2,1,11,praeattentiv,ohne_netzbrummen,513,1
L9UJ-MW6D,A,57,Weiblich,Nein,,2,3,4,4,7,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Genervt,Ja,Ja,Angenehem,Selten,Mischung aus beiden,2,2,12,praeattentiv,ohne_netzbrummen,377,1
