"teilnehmer_id","gruppe","alter","geschlecht","ohrenkrankheiten","ohrenkrankheiten_welche","arbeitsplatz_laut","bueromaschinen","haushaltsgeraete","baumaschinen","noise_cancelling","anstrengung","schwierige_aufgaben","brummen_einfluss","brummen_hinsicht","gefuehl_langsamer","gefuehl_fehler","lautstaerke","bewusst_wahrgenommen","strategie","block","trial_in_block","trial_global","suchtyp","audio","zeit_ms","richtig"
"ID-QWJQ-NOP0","A","25","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","1","1","praeattentiv","mit_netzbrummen","2250","1"
"ID-QWJQ-NOP0","A","26","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","2","2","praeattentiv","mit_netzbrummen","1073","1"
"ID-QWJQ-NOP0","A","27","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","3","3","praeattentiv","mit_netzbrummen","1638","1"
"ID-QWJQ-NOP0","A","28","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","4","4","praeattentiv","mit_netzbrummen","1532","1"
"ID-QWJQ-NOP0","A","29","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","5","5","praeattentiv","mit_netzbrummen","2766","1"
"ID-QWJQ-NOP0","A","30","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","6","6","praeattentiv","mit_netzbrummen","1149","1"
"ID-QWJQ-NOP0","A","31","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","7","7","praeattentiv","mit_netzbrummen","1127","1"
"ID-QWJQ-NOP0","A","32","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","8","8","praeattentiv","mit_netzbrummen","1081","1"
"ID-QWJQ-NOP0","A","33","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","9","9","praeattentiv","mit_netzbrummen","1458","1"
"ID-QWJQ-NOP0","A","34","Weiblich","Nein","","2","5","3","1","5","Mittelmäßig","Attentive Aufgaben","Eher nicht","Garnicht","Nein","Unsicher","Eher zu laut","Gelegentlich","Mischung aus beiden","1","10","10","praeattentiv","mit_netzbrummen","950","1"
