teilnehmer_id;gruppe;alter;geschlecht;ohrenkrankheiten;ohrenkrankheiten_welche;arbeitsplatz_laut;bueromaschinen;haushaltsgeraete;baumaschinen;noise_cancelling;anstrengung;schwierige_aufgaben;brummen_einfluss;brummen_hinsicht;gefuehl_langsamer;gefuehl_fehler;lautstaerke;bewusst_wahrgenommen;strategie;block;trial_in_block;trial_global;suchtyp;audio;zeit_ms;richtig
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;1;1;Präattentiv;Still;2051;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;2;2;Präattentiv;Still;1816;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;3;3;Präattentiv;Still;2387;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;4;4;Präattentiv;Still;2158;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;5;5;Präattentiv;Still;2649;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;6;6;Präattentiv;Still;2518;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;7;7;Präattentiv;Still;2746;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;8;8;Präattentiv;Still;2411;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;9;9;Präattentiv;Still;1983;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;10;10;Präattentiv;Still;1784;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;1;11;Präattentiv;Brummen;2903;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;2;12;Präattentiv;Brummen;2136;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;3;13;Präattentiv;Brummen;2848;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;4;14;Präattentiv;Brummen;2383;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;5;15;Präattentiv;Brummen;1887;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;6;16;Präattentiv;Brummen;2850;0
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;7;17;Präattentiv;Brummen;2765;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;8;18;Präattentiv;Brummen;2198;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;9;19;Präattentiv;Brummen;2059;1
ID-Q66Z-TXC6;B;29;Männlich;Nein;;2;3;4;1;6;Eher nicht;Attentive Aufgaben;Gar nicht;Genervt;Neim;Nein;Angenehm;Häufig;Ich habe systematisch gesucht;1;10;20;Präattentiv;Brummen;2072;1
