teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,1,1,praeattentiv,ohne_netzbrummen,3308,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,2,2,praeattentiv,ohne_netzbrummen,448,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,3,3,praeattentiv,ohne_netzbrummen,640,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,4,4,praeattentiv,ohne_netzbrummen,4493,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,5,5,praeattentiv,ohne_netzbrummen,577,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,6,6,praeattentiv,ohne_netzbrummen,289,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,7,7,praeattentiv,ohne_netzbrummen,549,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,8,8,praeattentiv,ohne_netzbrummen,278,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,9,9,praeattentiv,ohne_netzbrummen,816,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,1,10,10,praeattentiv,ohne_netzbrummen,4360,1
