teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,1,1,praeattentiv,ohne_netzbrummen,766,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,2,2,praeattentiv,ohne_netzbrummen,420,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,3,3,praeattentiv,ohne_netzbrummen,578,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,4,4,praeattentiv,ohne_netzbrummen,817,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,5,5,praeattentiv,ohne_netzbrummen,434,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,6,6,praeattentiv,ohne_netzbrummen,542,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,7,7,praeattentiv,ohne_netzbrummen,616,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,8,8,praeattentiv,ohne_netzbrummen,717,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,9,9,praeattentiv,ohne_netzbrummen,261,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,1,10,10,praeattentiv,ohne_netzbrummen,633,0
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,1,11,praeattentiv,mit_netzbrummen,539,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,2,12,praeattentiv,mit_netzbrummen,582,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,3,13,praeattentiv,mit_netzbrummen,958,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,4,14,praeattentiv,mit_netzbrummen,811,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,5,15,praeattentiv,mit_netzbrummen,4679,0
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,6,16,praeattentiv,mit_netzbrummen,451,0
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,7,17,praeattentiv,mit_netzbrummen,598,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,8,18,praeattentiv,mit_netzbrummen,478,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,9,19,praeattentiv,mit_netzbrummen,914,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,2,10,20,praeattentiv,mit_netzbrummen,1373,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,1,21,attentiv,ohne_netzbrummen,3948,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,2,22,attentiv,ohne_netzbrummen,861,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,3,23,attentiv,ohne_netzbrummen,1256,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,4,24,attentiv,ohne_netzbrummen,1874,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,5,25,attentiv,ohne_netzbrummen,1949,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,6,26,attentiv,ohne_netzbrummen,1350,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,7,27,attentiv,ohne_netzbrummen,1647,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,8,28,attentiv,ohne_netzbrummen,1208,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,9,29,attentiv,ohne_netzbrummen,1624,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,3,10,30,attentiv,ohne_netzbrummen,1456,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,1,31,attentiv,mit_netzbrummen,1828,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,2,32,attentiv,mit_netzbrummen,1694,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,3,33,attentiv,mit_netzbrummen,2006,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,4,34,attentiv,mit_netzbrummen,4342,0
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,5,35,attentiv,mit_netzbrummen,1084,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,6,36,attentiv,mit_netzbrummen,1482,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,7,37,attentiv,mit_netzbrummen,1678,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,8,38,attentiv,mit_netzbrummen,1978,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,9,39,attentiv,mit_netzbrummen,1199,1
THBX-5TES,B,33,Weiblich,Nein,,4,5,5,3,1,Eher anstregend,Gleich schwer,Eher nicht,Gestresst,Ja,Nein,Eher zu laut,Die ganze Zeit,Zielobjekt sprang sofort ins Auge,4,10,40,attentiv,mit_netzbrummen,1710,1
