"teilnehmer_id","gruppe","alter","geschlecht","ohrenkrankheiten","ohrenkrankheiten_welche","arbeitsplatz_laut","bueromaschinen","haushaltsgeraete","baumaschinen","noise_cancelling","anstrengung","schwierige_aufgaben","brummen_einfluss","brummen_hinsicht","gefuehl_langsamer","gefuehl_fehler","lautstaerke","bewusst_wahrgenommen","strategie","block","trial_in_block","trial_global","suchtyp","audio","zeit_ms","richtig"
"ID-7J11-Q7SG","C","23","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","1","1","attentiv","mit_netzbrummen","5309","0"
"ID-7J11-Q7SG","C","24","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","2","2","attentiv","mit_netzbrummen","25","0"
"ID-7J11-Q7SG","C","25","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","3","3","attentiv","mit_netzbrummen","1938","0"
"ID-7J11-Q7SG","C","26","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","4","4","attentiv","mit_netzbrummen","10145","1"
"ID-7J11-Q7SG","C","27","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","5","5","attentiv","mit_netzbrummen","2810","1"
"ID-7J11-Q7SG","C","28","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","6","6","attentiv","mit_netzbrummen","4057","1"
"ID-7J11-Q7SG","C","29","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","7","7","attentiv","mit_netzbrummen","7067","1"
"ID-7J11-Q7SG","C","30","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","8","8","attentiv","mit_netzbrummen","4208","1"
"ID-7J11-Q7SG","C","31","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","9","9","attentiv","mit_netzbrummen","3667","1"
"ID-7J11-Q7SG","C","32","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","1","10","10","attentiv","mit_netzbrummen","6868","1"
"ID-7J11-Q7SG","C","33","Männlich","Nein","","2","5","3","1","1","Gar nicht","Attentive Aufgaben","Eher nicht","Leicht abgelenkt","Nein","Nein","Angenehm","Gelegentlich","Mischung aus beiden","2","1","11","attentiv","ohne_netzbrummen","49465","1"
