teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,1,1,attentiv,mit_netzbrummen,1715,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,2,2,attentiv,mit_netzbrummen,1820,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,3,3,attentiv,mit_netzbrummen,1569,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,4,4,attentiv,mit_netzbrummen,1454,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,5,5,attentiv,mit_netzbrummen,2708,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,6,6,attentiv,mit_netzbrummen,1605,0
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,7,7,attentiv,mit_netzbrummen,1269,0
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,8,8,attentiv,mit_netzbrummen,2391,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,9,9,attentiv,mit_netzbrummen,1604,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,1,10,10,attentiv,mit_netzbrummen,1437,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,2,1,11,attentiv,ohne_netzbrummen,1044,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,2,2,12,attentiv,ohne_netzbrummen,4719,1
NZ67-U24L,C,48,Männlich,Nein,,3,2,4,3,9,Gar nicht,Attentive Aufgaben,Sehr stark beeinflust,Gar nicht,Nein,Ja,Eher zu laut,Gelegentlich,Keine bestimmte Strategie,2,3,13,attentiv,ohne_netzbrummen,1110,1
