teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,1,1,Attentiv,Brummen,2928,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,2,2,Attentiv,Brummen,2701,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,3,3,Attentiv,Brummen,2789,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,4,4,Attentiv,Brummen,2513,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,5,5,Attentiv,Brummen,1962,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,6,6,Attentiv,Brummen,2888,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,7,7,Attentiv,Brummen,1912,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,8,8,Attentiv,Brummen,2961,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,9,9,Attentiv,Brummen,2220,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,10,10,Attentiv,Brummen,2258,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,1,11,Attentiv,Still,2860,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,2,12,Attentiv,Still,2248,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,3,13,Attentiv,Still,2318,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,4,14,Attentiv,Still,1849,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,5,15,Attentiv,Still,2545,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,6,16,Attentiv,Still,2356,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,7,17,Attentiv,Still,1895,1
ID-T3JZ-6XR7,C,21,Männlich,Nein,,3,4,1,1,8,Gar nicht,Attentive Aufgaben,Mittelmäßig,Leicht abgelenkt,Ja,Nein,Zu laut,Die ganze Zeit,Keine bestimmte Strategie,1,8,18,Attentiv,Still,2087,1
