teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,1,1,attentiv,ohne_netzbrummen,911,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,2,2,attentiv,ohne_netzbrummen,845,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,3,3,attentiv,ohne_netzbrummen,1175,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,4,4,attentiv,ohne_netzbrummen,1688,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,5,5,attentiv,ohne_netzbrummen,1474,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,6,6,attentiv,ohne_netzbrummen,1298,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,7,7,attentiv,ohne_netzbrummen,2059,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,8,8,attentiv,ohne_netzbrummen,2021,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,9,9,attentiv,ohne_netzbrummen,1190,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,1,10,10,attentiv,ohne_netzbrummen,753,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,2,1,11,attentiv,mit_netzbrummen,2985,1
BFPQ-BN4Q,D,26,Weiblich,Nein,,2,5,3,3,3,Eher nicht,Gleich schwer,Mittelmäßig,Gar nicht,Ja,Nein,Eher zu leise,Gelegentlich,Mischung aus beiden,2,2,12,attentiv,mit_netzbrummen,4292,1
