"teilnehmer_id","gruppe","alter","geschlecht","ohrenkrankheiten","ohrenkrankheiten_welche","arbeitsplatz_laut","bueromaschinen","haushaltsgeraete","baumaschinen","noise_cancelling","anstrengung","schwierige_aufgaben","brummen_einfluss","brummen_hinsicht","gefuehl_langsamer","gefuehl_fehler","lautstaerke","bewusst_wahrgenommen","strategie","block","trial_in_block","trial_global","suchtyp","audio","zeit_ms","richtig"
"ID-G5J3-70P7","D","57","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","1","1","attentiv","ohne_netzbrummen","33947","1"
"ID-G5J3-70P7","D","58","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","2","2","attentiv","ohne_netzbrummen","3592","1"
"ID-G5J3-70P7","D","59","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","3","3","attentiv","ohne_netzbrummen","3058","1"
"ID-G5J3-70P7","D","60","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","4","4","attentiv","ohne_netzbrummen","6105","1"
"ID-G5J3-70P7","D","61","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","5","5","attentiv","ohne_netzbrummen","3993","1"
"ID-G5J3-70P7","D","62","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","6","6","attentiv","ohne_netzbrummen","3722","1"
"ID-G5J3-70P7","D","63","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","7","7","attentiv","ohne_netzbrummen","3101","1"
"ID-G5J3-70P7","D","64","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","8","8","attentiv","ohne_netzbrummen","2958","1"
"ID-G5J3-70P7","D","65","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","9","9","attentiv","ohne_netzbrummen","3367","1"
"ID-G5J3-70P7","D","66","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","1","10","10","attentiv","ohne_netzbrummen","9313","1"
"ID-G5J3-70P7","D","67","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","1","11","attentiv","ohne_netzbrummen","5326","1"
"ID-G5J3-70P7","D","68","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","2","12","attentiv","ohne_netzbrummen","12024","1"
"ID-G5J3-70P7","D","69","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","3","13","attentiv","ohne_netzbrummen","2502","1"
"ID-G5J3-70P7","D","70","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","4","14","attentiv","ohne_netzbrummen","5853","0"
"ID-G5J3-70P7","D","71","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","5","15","attentiv","ohne_netzbrummen","2999","1"
"ID-G5J3-70P7","D","72","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","6","16","attentiv","ohne_netzbrummen","5484","1"
"ID-G5J3-70P7","D","73","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","7","17","attentiv","ohne_netzbrummen","2191","1"
"ID-G5J3-70P7","D","74","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","8","18","attentiv","ohne_netzbrummen","2125","1"
"ID-G5J3-70P7","D","75","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","9","19","attentiv","ohne_netzbrummen","3165","1"
"ID-G5J3-70P7","D","76","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","2","10","20","attentiv","ohne_netzbrummen","9588","1"
"ID-G5J3-70P7","D","77","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","3","1","21","attentiv","mit_netzbrummen","4483","1"
"ID-G5J3-70P7","D","78","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","3","2","22","attentiv","mit_netzbrummen","2958","1"
"ID-G5J3-70P7","D","79","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","3","3","23","attentiv","mit_netzbrummen","3877","1"
"ID-G5J3-70P7","D","80","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","3","4","24","attentiv","mit_netzbrummen","1229","1"
"ID-G5J3-70P7","D","81","Weiblich","Nein","","3","1","5","1","1","Mittelmäßig","Attentive Aufgaben","Eher beeinflusst","Genervt","Ja","Ja","Eher zu laut","Die ganze Zeit","Keine bestimmte Strategie","3","5","25","attentiv","mit_netzbrummen","2040","0"
