teilnehmer_id;gruppe;alter;geschlecht;ohrenkrankheiten;ohrenkrankheiten_welche;arbeitsplatz_laut;bueromaschinen;haushaltsgeraete;baumaschinen;noise_cancelling;anstrengung;schwierige_aufgaben;brummen_einfluss;brummen_hinsicht;gefuehl_langsamer;gefuehl_fehler;lautstaerke;bewusst_wahrgenommen;strategie;block;trial_in_block;trial_global;suchtyp;audio;zeit_ms;richtig
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;1;1;Präattentiv;Brummen;2099;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;2;2;Präattentiv;Brummen;2161;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;3;3;Präattentiv;Brummen;2008;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;4;4;Präattentiv;Brummen;2317;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;5;5;Präattentiv;Brummen;2372;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;6;6;Präattentiv;Brummen;2011;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;7;7;Präattentiv;Brummen;2516;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;8;8;Präattentiv;Brummen;2646;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;9;9;Präattentiv;Brummen;2138;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;10;10;Präattentiv;Brummen;2367;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;1;11;Präattentiv;Brummen;2928;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;2;12;Präattentiv;Brummen;2524;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;3;13;Präattentiv;Brummen;2817;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;4;14;Präattentiv;Brummen;2802;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;5;15;Präattentiv;Brummen;2426;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;6;16;Präattentiv;Brummen;2486;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;7;17;Präattentiv;Brummen;2285;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;8;18;Präattentiv;Brummen;2715;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;9;19;Präattentiv;Brummen;2875;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;1;10;20;Präattentiv;Brummen;2713;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;2;1;21;Präattentiv;Still;2475;1
ID-R4SJ-VA3X;D;24;Männlich;Nein;;3;4;4;1;7;Gar nicht;Attentive Aufgaben;Eher nicht;Genervt;Nein;Nein;Zu laut;Die ganze Zeit;Mischung aus beiden;2;2;22;Präattentiv;Still;1686;1
