teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,1,1,attentiv,ohne_netzbrummen,1353,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,2,2,attentiv,ohne_netzbrummen,1115,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,3,3,attentiv,ohne_netzbrummen,1450,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,4,4,attentiv,ohne_netzbrummen,1182,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,5,5,attentiv,ohne_netzbrummen,1203,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,6,6,attentiv,ohne_netzbrummen,1153,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,7,7,attentiv,ohne_netzbrummen,2147,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,8,8,attentiv,ohne_netzbrummen,2699,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,9,9,attentiv,ohne_netzbrummen,1527,1
SP4B-9UV8,D,48,Weiblich,Nein,,3,5,1,1,3,Eher anstregend,Attentive Aufgaben,Eher beeinflusst,Leicht abgelenkt,Nein,Unsicher,Eher zu leise,Gelegentlich,Mischung aus beiden,1,10,10,attentiv,ohne_netzbrummen,1889,1
